Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
AR,1,1,0,0,0.0103092783505155,0
BE,3,2,1,1.24126984126984,0.0153846153846154,0.333333333333333
BG,1,1,0,0,0.0135135135135135,0
BR,5,1,4,38.6,0.0149253731343284,0.8
BW,11,4,7,24.3333333333333,0.0163934426229508,0.636363636363636
CN,3,1,2,18.2412698412698,0.0128205128205128,0.666666666666667
CY,4,3,1,0,0.0144927536231884,0.25
DE,1,1,0,0,0.0135135135135135,0
DK,1,1,0,0,0.0135135135135135,0
ES,5,3,2,2.2,0.0151515151515152,0.4
ET,11,2,9,25.5388888888889,0.0172413793103448,0.818181818181818
GB,12,9,3,47.3880952380952,0.0185185185185185,0.25
GE,2,1,1,0,0.0120481927710843,0.5
IL,2,2,0,0,0.0126582278481013,0
IN,10,2,8,79.9285714285714,0.0163934426229508,0.8
KE,9,4,5,54.2555555555556,0.0178571428571429,0.555555555555556
MM,1,1,0,0,0.00925925925925926,0
MW,7,4,3,2.75,0.0149253731343284,0.428571428571429
NG,2,2,0,0,0.0136986301369863,0
NP,3,1,2,0,0.0126582278481013,0.666666666666667
PK,1,1,0,0,0.010989010989011,0
SE,15,7,8,113.455555555556,0.0181818181818182,0.533333333333333
SN,2,1,1,0,0.0138888888888889,0.5
SO,1,1,0,0,0.0117647058823529,0
TH,1,1,0,0,0.010989010989011,0
TZ,12,8,4,49.6825396825397,0.0178571428571429,0.333333333333333
UG,2,2,0,0,0.0126582278481013,0
US,2,2,0,0,0.0140845070422535,0
UY,1,1,0,0,0.0103092783505155,0
YE,1,1,0,0,0.0113636363636364,0
ZA,28,10,18,295.860317460317,0.0227272727272727,0.642857142857143
ZM,14,6,8,60.5246031746032,0.0178571428571429,0.571428571428571
