Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Arizona,2,2,0,0,0.0476190476190476,0
Idaho,2,2,0,0,0.0384615384615385,0
Michigan,4,4,0,0,0.0555555555555556,0
Tennessee,3,3,0,0,0.0526315789473684,0
Texas,9,2,7,17,0.0714285714285714,0.777777777777778
Washington,3,1,2,0,0.0434782608695652,0.666666666666667
Georgia,2,2,0,0,0.0434782608695652,0
Virginia,4,1,3,10,0.0526315789473684,0.75
California,7,1,6,6,0.0588235294117647,0.857142857142857
Florida,2,1,1,0,0.0434782608695652,0.5
Mississippi,1,1,0,0,0.0416666666666667,0
NewJersey,1,0,1,0,0.0344827586206897,1
