Accession,Host,Country,Geoscheme,Continent
AY726732.1,Aedes_furcifer,Senegal,Western_Africa,Africa
HM045785.1,Aedes_aegypti,Senegal,Western_Africa,Africa
HM045786.1,Homo_sapiens,Nigeria,Western_Africa,Africa
HM045798.1,Homo_sapiens,Senegal,Western_Africa,Africa
HM045804.1,Homo_sapiens,Senegal,Western_Africa,Africa
HM045807.1,Sentinal_mouse,Nigeria,Western_Africa,Africa
HM045815.1,Aedes_luteocephalus,Senegal,Western_Africa,Africa
HM045816.1,Homo_sapiens,Senegal,Western_Africa,Africa
HM045817.1,Homo_sapiens,Senegal,Western_Africa,Africa
HM045818.1,Aedes_luteocephalus,Cote_dIvoire,Western_Africa,Africa
HM045819.1,Aedes_dalzieli,Senegal,Western_Africa,Africa
HM045820.1,Aedes_africanus,Cote_dIvoire,Western_Africa,Africa
KX262986.1,Aedes_furcifer,Senegal,Western_Africa,Africa
KX262995.1,Aedes_furcifer,Senegal,Western_Africa,Africa
