Accession,IDs,Country,Host,Year
EF027139.1_India,EF027139.1,India,Unknown,2000
HM045784.1_Central_African_Republic,HM045784.1,Central_African_Republic,Anopheles_funestus,1984
HM045793.1_Central_African_Republic,HM045793.1,Central_African_Republic,Unknown,Before1986
HM045812.1_Uganda,HM045812.1,Uganda,Homo_sapiens,1982
HM045822.1_Central_African_Republic,HM045822.1,Central_African_Republic,Homo_sapiens,1978
HM045823.1_Angola,HM045823.1,Angola,Unknown,1962
KP003812.1_Gabon,KP003812.1,Gabon,Homo_sapiens,2007
KP003813.2_Republic_of_the_Congo,KP003813.2,Republic_of_the_Congo,Homo_sapiens,2011
KP164568.1_Brazil,KP164568.1,Brazil,Homo_sapiens,2014
KP164569.1_Brazil,KP164569.1,Brazil,Homo_sapiens,2014
KP164570.1_Brazil,KP164570.1,Brazil,Homo_sapiens,2014
KU940225.1_Brazil,KU940225.1,Brazil,Homo_sapiens,2015
KX228391.1_Brazil,KX228391.1,Brazil,Homo_sapiens,2016
KX262996.1_Cameroon,KX262996.1,Cameroon,Homo_sapiens,2006
KY038946.1_Central_African_Republic,KY038946.1,Central_African_Republic,Aedes_opok,1975
KY038947.2_Central_African_Republic,KY038947.2,Central_African_Republic,Homo_sapiens,1983
KY055011.1_Brazil,KY055011.1,Brazil,Aedes_aegypti,2016
KY124328.1_Brazil,KY124328.1,Brazil,Homo_sapiens,2016
KY124329.1_Brazil,KY124329.1,Brazil,Homo_sapiens,2016
KY575574.1_USA,KY575574.1,USA,Homo_sapiens,1995
KY704942.1_Brazil,KY704942.1,Brazil,Homo_sapiens,2016
KY704952.1_Brazil,KY704952.1,Brazil,Homo_sapiens,2016
KY704954.1_Brazil,KY704954.1,Brazil,Homo_sapiens,2016
KY704955.1_Brazil,KY704955.1,Brazil,Homo_sapiens,2016
MG000875.1_Haiti,MG000875.1,Haiti,Culex_quinquefasciatus,2016
MG000876.1_Haiti,MG000876.1,Haiti,Aedes_albopictus,2016
MG649970.1_Brazil,MG649970.1,Brazil,Unknown,2016
MG649971.1_Brazil,MG649971.1,Brazil,Unknown,2016
MG649972.1_Brazil,MG649972.1,Brazil,Unknown,2016
MG649973.1_Brazil,MG649973.1,Brazil,Unknown,2016
MG649974.1_Brazil,MG649974.1,Brazil,Unknown,2016
MG649975.1_Brazil,MG649975.1,Brazil,Unknown,2016
MG649976.1_Brazil,MG649976.1,Brazil,Unknown,2016
MG649977.1_Brazil,MG649977.1,Brazil,Unknown,2016
MG649978.1_Brazil,MG649978.1,Brazil,Unknown,2017
MG649979.1_Brazil,MG649979.1,Brazil,Unknown,2017
MG649980.1_Brazil,MG649980.1,Brazil,Unknown,2016
MG649981.1_Brazil,MG649981.1,Brazil,Unknown,2016
MG649982.1_Brazil,MG649982.1,Brazil,Unknown,2017
MG649983.1_Brazil,MG649983.1,Brazil,Unknown,2016
MG649984.1_Brazil,MG649984.1,Brazil,Unknown,2015
MG649985.1_Brazil,MG649985.1,Brazil,Unknown,2015
