Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Angola,6,2,4,40,0.0277777777777778,0.666666666666667
Bolivia,1,1,0,0,0.0161290322580645,0
Brazil,5,1,4,13.5,0.0222222222222222,0.8
China,2,1,1,0,0.0188679245283019,0.5
Cote_d_Ivoire,3,1,2,11,0.0238095238095238,0.666666666666667
Ethiopia,2,1,1,2.5,0.0178571428571429,0.5
France,4,1,3,14.5,0.0238095238095238,0.75
Gambia,1,1,0,0,0.0192307692307692,0
Ghana,1,1,0,0,0.0169491525423729,0
Guinea-Bissau,1,1,0,0,0.0192307692307692,0
Nigeria,1,1,0,0,0.0169491525423729,0
Peru,2,1,1,5,0.0175438596491228,0.5
Senegal,6,1,5,25,0.0285714285714286,0.833333333333333
Singapore,1,1,0,0,0.0135135135135135,0
Sudan,2,2,0,0,0.0181818181818182,0
Suriname,1,1,0,0,0.0161290322580645,0
Trinidad_and_Tobago,2,2,0,0,0.0227272727272727,0
Uganda,2,1,1,5.5,0.0204081632653061,0.5
Venezuela,1,1,0,0,0.0161290322580645,0
