Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Angola,3,1,2,7,0.0555555555555556,0.666666666666667
Brazil,2,0,2,0,0.0416666666666667,1
Cameroon,2,1,1,6,0.05,0.5
Central_African_Republic,4,1,3,10,0.0625,0.75
Gabon,2,1,1,4,0.0384615384615385,0.5
Haiti,1,1,0,0,0.03125,0
India,1,1,0,0,0.0416666666666667,0
Republic_of_the_Congo,1,1,0,0,0.0294117647058824,0
Uganda,1,1,0,0,0.0416666666666667,0
USA,1,1,0,0,0.0384615384615385,0
